,date,tweet
102,2021-10-01 16:50:54,@nayibbukele The first Volcano #Bitcoin was mined 🌋⛏️  https://t.co/YS6eadbY7X
103,2021-10-01 16:50:52,"6 Büyük hareketi eksiksiz 12'den vurmuş adam var burada, kan banyosuna adam çekmek için aksi şekilde hareket getirdiler bu kadar basit, neticeyi göreceğiz. #BTC #Bitcoin #kriptopara #kripto #analiz"
104,2021-10-01 16:50:46,"Sphere 3D Secures Order for 60,000 BTC Antminers, One of the Largest Single Orders in Digital Mining Industry History  $ANY this was big news and now $BTC creeping back  https://t.co/qwEeY3jUCz"
105,2021-10-01 16:50:27,Yükselişin sağlıklı olabilmesi için 44400$ üzeri günü kapatması lazım. #bitcoin
106,2021-10-01 16:50:11,1 saat içinde %10 karı yakaladık ve 1. direnci geçtik. 🚀🚀🧿🧿Bu kadar kısa sürede bu kadar kar oranını  @BorsaEditor farkıyla yakalamaya devam edin. 💪Gücümüz tekniğimiz olmaya devam edecek. 😎 #RAMP #RAMPUSDT #BTC  https://t.co/PAF3zFHo6z
107,2021-10-01 16:49:38,⚡️FLASH TA - $BTC UPDATE⚡️  This week has been interesting on CT where we have gone from being super bearish at support and ultra bullish at resistance.  DO. NOT. BUY. RESISTANCE.  WAIT. FOR. CONFIRMATION.  https://t.co/4DFzQNo7QO
108,2021-10-01 16:49:36,October Start - अब आएगा मजा | Back to Back good news | #Crypto news &amp; update | Bitcoin TA  https://t.co/6ahCsoivsA
109,2021-10-01 16:49:19,Attention❗️Motion 362 has been approved by the Kusama Council - the proposal scheduled the opening of an 11th slot auction before the current lease period ends. The new auction is supposed to kick off at approx. 11:30am on Wed 06 October.   Onward and forward 🚀  #Kintsugi2Kusama  https://t.co/iXUs89krRo
110,2021-10-01 16:49:11,Spot Entries Going Perfect 🤝 We Longed #BTC Last night in Private Group ✍️🤝
111,2021-10-01 16:48:39,#BTC mooning hard🚀 sabahki haberden sonra muhteşem pomplaniyor
112,2021-10-01 16:47:19,"Habe meinem Sohn soeben zur Hochzeit einen Bitcoin geschenkt. Natürlich sind 38745 Euro eine Menge Geld, aber die 33230 Euro sind gut investiert, der Coin könnte irgendwann sogar noch mehr als die derzeit 36497 Euro wert sein."
113,2021-10-01 16:46:45,#BTC NEDEN 44800 E GELDI BIR ANDA DURDU... YORUMLARI ALALIM DOSTLARIM..
114,2021-10-01 16:46:41,#Bitcoin 44.999$ oldu 🔥
115,2021-10-01 16:46:36,Now that September is over maybe we can get back to business #Dogecoin #Bitcoin #Ethereum #VeChain 🚀🚀🚀🚀
116,2021-10-01 16:46:25,"#Ethereum paşamızda durumu, 3160 USDT'de düşen trend direnci ve aynı zamanda arz-talep bölgesinin üst direnç hattı bulunuyor. Burayı aşması durumunda 3370 USDT'yi hedefler.  #Bitcoin #XAUUSD #ALTIN #DolarTL #Ethereum #BNB #SOL #Avax #altcoin #kriptopara #Dogecoin #ShibaCoin  https://t.co/hc8XiiOqp9"
117,2021-10-01 16:45:41,BTC'de 5 Ekim öncesi 45k beklentim ve 21 Eylülden itibaren yataya geçiş beklentim yerine geldi.  Bi kaç gün sonra riskli dönemler başlıyor. Dikkatli olmanızda fayda var.  $BTC $ETH $BNB $XRP $AVAX $SOL $SRM $ADA $ALICE $HBAR $NANO $ONE $WAVES $STARS $RAY #bitcoin #btc #altcoin
118,2021-10-01 16:45:35,#Bitcoin   Take one of the movie 'The last Bulltrade' has been finished!🔥  Entry ✅ Bounce ✅  Shout out to our partners @Delta_Exchange for bringing me the opportunity to trade now other exchanges are taking down futures for the EU gang.   Join us here:  https://t.co/9Qh0vx2Y0t  https://t.co/uGW3OojO0B
119,2021-10-01 16:45:24,"ใครคิดว่า #BTC #บิทคอยน์ ถึง 76,000$ กดรีทวิต 100,000$ กดหัวใจ #ลุงโป้งส่องเหรียญดิจิตอล  https://t.co/o4Ck7hPBZ3"
120,2021-10-01 16:45:17,Good morning Crypto Twitter!! 🎉🎊  #BTC #HappyFriday #TGIF   https://t.co/D6exUpL6Ts
121,2021-10-01 16:45:10,Be keen to see the next few candles on $BTC  https://t.co/GGBy9MuQpj
122,2021-10-01 16:44:46,October is starting and prices are pumping! #bitcoin #ethereum #defichain
123,2021-10-01 16:44:12,#Bitcoin düşerken hiç twit atmayanlar yükselirken roketleri çıkarmışlar. 😂
124,2021-10-01 16:44:09,"Yes i know half of CT will be posting huge longs from the ""bottom"" but it is too late the opportunity is gone so don't try and join them now. They have a risk free trade you don't"
125,2021-10-01 16:43:58,"Careful guys. It's true what they say:  If BTC does go on a tear, alts will suffer, at least against btc.  Maybe/probably in usd as well. Hard to predict what'll happen this time, just have this in mind."
